Question,Answer
What is the hardest natural substance on Earth?,Diamond
How many hearts does an octopus have?,3
What is the national animal of Scotland?,Unicorn
Which planet has the most moons?,Saturn
What is the rarest blood type?,AB negative
How many stripes are on the U.S. flag?,13
What is the only mammal capable of true flight?,Bat
What color is a polar bear’s skin?,Black
What is the longest-running TV show?,The Simpsons
How many players are on a baseball team on the field?,9
What is the most spoken language in the world?,Mandarin Chinese
What is the fastest land animal?,Cheetah
What is the name of the largest bone in the human body?,Femur
What is the most abundant gas in Earth's atmosphere?,Nitrogen
Which metal is liquid at room temperature?,Mercury
How many chambers does the human heart have?,4
What is the largest species of shark?,Whale shark
What is the only continent without reptiles?,Antarctica
What is the main ingredient in guacamole?,Avocado
What is the tallest animal?,Giraffe
How many keys does a standard piano have?,88
What is the chemical symbol for iron?,Fe
What is the currency of South Korea?,Won
What is the name of the fairy in Peter Pan?,Tinker Bell
What is the longest bone in the human body?,Femur
What is the freezing point of water in Fahrenheit?,32°F
