Question,Answer
What is the capital of France?,Paris
What is the chemical symbol for gold?,Au
Who wrote 'Romeo and Juliet'?,William Shakespeare
What is the largest planet in our solar system?,Jupiter
What year did World War II end?,1945
What is the square root of 144?,12
What is the smallest unit of life?,Cell
Who painted the Mona Lisa?,Leonardo da Vinci
What is the speed of light in a vacuum?,299792458 meters per second
What is the powerhouse of the cell?,Mitochondria
How many continents are there?,7
What is the boiling point of water at sea level?,100°C or 212°F
Who was the first president of the United States?,George Washington
What is the process by which plants make food?,Photosynthesis
What is the longest river in the world?,Nile River
What gas do plants absorb from the atmosphere?,Carbon dioxide
What is the formula for the area of a circle?,πr² (pi times radius squared)
Who developed the theory of relativity?,Albert Einstein
What is the largest organ in the human body?,Skin
What is the currency of Japan?,Yen
How many bones are in the adult human body?,206
What is the tallest mountain in the world?,Mount Everest
What element has the atomic number 1?,Hydrogen
Who wrote '1984'?,George Orwell
What is the main language spoken in Brazil?,Portuguese
What year did the Titanic sink?,1912
What is the freezing point of water?,0°C or 32°F
How many sides does a hexagon have?,6
What is the smallest prime number?,2
Who discovered penicillin?,Alexander Fleming
