Question,Answer
What is the capital of Japan?,Tokyo
What continent is Egypt in?,Africa
What is the largest ocean?,Pacific Ocean
What country has the most population?,China
What is the capital of Canada?,Ottawa
What river runs through Egypt?,Nile River
What is the largest desert in the world?,Antarctic Desert
What country is Paris in?,France
What is the capital of Australia?,Canberra
What mountain range separates Europe and Asia?,Ural Mountains
What is the smallest country in the world?,Vatican City
What is the capital of Italy?,Rome
What continent is Brazil in?,South America
What is the longest river in South America?,Amazon River
What country is Berlin in?,Germany
What is the capital of India?,New Delhi
What ocean is on the east coast of the United States?,Atlantic Ocean
What country is the Great Barrier Reef in?,Australia
What is the capital of Spain?,Madrid
What continent is Antarctica on?,Antarctica
