Question,Answer
What does CPU stand for?,Central Processing Unit
What data structure uses LIFO order?,Stack
What data structure uses FIFO order?,Queue
What is the time complexity of binary search?,O(log n)
What does RAM stand for?,Random Access Memory
What is an OS?,Operating System
What programming language is primarily used for web styling?,CSS
What does HTTP stand for?,HyperText Transfer Protocol
What is a variable in programming?,A named storage for data
What does IDE stand for?,Integrated Development Environment
What is Git?,A version control system
What is recursion?,A function calling itself
What is a boolean?,A data type with true/false values
What does SQL stand for?,Structured Query Language
What is a loop?,A structure that repeats code
What is an array?,A collection of elements stored in order
What is a class in OOP?,A blueprint for objects
What is polymorphism?,Ability of objects to take many forms
What is an API?,Application Programming Interface
What does JSON stand for?,JavaScript Object Notation
