Question,Answer
Who painted the Mona Lisa?,Leonardo da Vinci
Who painted The Starry Night?,Vincent van Gogh
Who sculpted the statue of David?,Michelangelo
Who painted the ceiling of the Sistine Chapel?,Michelangelo
Who is known for painting melting clocks in The Persistence of Memory?,Salvador Dali
Who cut off part of his own ear?,Vincent van Gogh
Who painted Girl with a Pearl Earring?,Johannes Vermeer
Who is known as the father of Impressionism?,Claude Monet
Who painted Guernica?,Pablo Picasso
Who painted The Scream?,Edvard Munch
Who painted Water Lilies?,Claude Monet
Who is known for painting Campbell's Soup Cans?,Andy Warhol
Who painted The Birth of Venus?,Sandro Botticelli
Who painted A Sunday Afternoon on the Island of La Grande Jatte?,Georges Seurat
Who is famous for her self-portraits and unibrow?,Frida Kahlo
Who painted The Kiss?,Gustav Klimt
Who created the mobile as an art form?,Alexander Calder
Who painted American Gothic?,Grant Wood
Who is known for drip painting and abstract expressionism?,Jackson Pollock
Who painted the Garden of Earthly Delights?,Hieronymus Bosch
Who painted Saturn Devouring His Son?,Francisco Goya
Who painted Sunflowers?,Vincent van Gogh
