Question,Answer
What country does sushi originate from?,Japan
What is the main ingredient in guacamole?,Avocado
What type of pasta is shaped like little ears?,Orecchiette
What spice gives curry its yellow color?,Turmeric
What country is paella from?,Spain
What nut is marzipan made from?,Almonds
What fruit is dried to make raisins?,Grapes
What Italian dish is made of layers of pasta sheets and meat sauce?,Lasagna
What country do croissants originate from?,Austria
What is the hottest chili pepper in the world?,Carolina Reaper
What grain is used to make traditional Japanese sake?,Rice
What country is feta cheese from?,Greece
What vegetable is the main ingredient in borscht?,Beetroot
What bakery item is a traditional New York breakfast food shaped like a ring?,Bagel
What French term means cooking food slowly in fat?,Confit
What country does kimchi come from?,South Korea
What is the most expensive spice in the world by weight?,Saffron
What bean is used to make tofu?,Soybean
What country is tikka masala associated with?,United Kingdom
What fruit is traditionally used to make marmalade?,Orange
